item,sentence,condition,type,number
1,Fran corrected the manuscript of the authors who were,InAn-low,prime,1
1,Fran corrected the manuscript of the authors which was,InAn-high,prime,2
1,Terry inspected the lawn of the parents that,InAn-low,target,1
1,Terry inspected the lawn of the parents that,InAn-high,target,2
2,The bartender found the receipt of the customers who were,InAn-low,prime,3
2,The bartender found the receipt of the customers which was,InAn-high,prime,4
2,The staff cleaned the stage of the performers that,InAn-low,target,3
2,The staff cleaned the stage of the performers that,InAn-high,target,4
3,We passed the property of the landowners who were ,InAn-low,prime,5
3,We passed the property of the landowners which was,InAn-high,prime,6
3,They increased the salary of the landscapers that ,InAn-low,target,5
3,They increased the salary of the landscapers that ,InAn-high,target,6
4,Leo viewed the painting of the kings who were,InAn-low,prime,7
4,Leo viewed the painting of the kings which was,InAn-high,prime,8
4,The FBI searched the boardroom of the executives that ,InAn-low,target,7
4,The FBI searched the boardroom of the executives that ,InAn-high,target,8
5,The critic entered the restaurant of the chefs who were,InAn-low,prime,9
5,The critic entered the restaurant of the chefs which was,InAn-high,prime,10
5,The plumber entered the bathroom of the residents that ,InAn-low,target,9
5,The plumber entered the bathroom of the residents that ,InAn-high,target,10
6,The reporter visited the district of the voters who were,InAn-low,prime,11
6,The reporter visited the district of the voters which was ,InAn-high,prime,12
6,The spy described the hideout of the rebels that  ,InAn-low,target,11
6,The spy described the hideout of the rebels that  ,InAn-high,target,12
7,The commentator announced the score of the contestants who were ,InAn-low,prime,13
7,The commentator announced the score of the contestants which was,InAn-high,prime,14
7,The police arrested the inhabitants of the building that ,AnIn-low,target,13
7,The police arrested the inhabitants of the building that ,AnIn-high,target,14
8,The professor found the list of the students who were ,InAn-low,prime,15
8,The professor found the list of the students which was,InAn-high,prime,16
8,The fans cheered for the recipients of the prize that ,AnIn-low,target,15
8,The fans cheered for the recipients of the prize that ,AnIn-high,target,16
9,Everyone read the report of the scientists who were ,InAn-low,prime,17
9,Everyone read the report of the scientists which was,InAn-high,prime,18
9,Chris served the attendees of the party that ,AnIn-low,target,17
9,Chris served the attendees of the party that ,AnIn-high,target,18
10,The ruling impacted the village of the farmers who were,InAn-low,prime,19
10,The ruling impacted the village of the farmers which was ,InAn-high,prime,20
10,Andrew spoke to the patrons of the supermarket that ,AnIn-low,target,19
10,Andrew spoke to the patrons of the supermarket that ,AnIn-high,target,20
11,The landlord reviewed the lease of the tenants who were,InAn-low,prime,21
11,The landlord reviewed the lease of the tenants which was ,InAn-high,prime,22
11,The secretary contacted the signers of the petition that ,AnIn-low,target,21
11,The secretary contacted the signers of the petition that ,AnIn-high,target,22
12,Yvette organized the meeting of the agents who were,InAn-low,prime,23
12,Yvette organized the meeting of the agents which was ,InAn-high,prime,24
12,The physician treated the patients of the hospital that ,AnIn-low,target,23
12,The physician treated the patients of the hospital that ,AnIn-high,target,24
13,The officer confiscated the inheritance of the brothers who were ,InAn-low,prime,25
13,The officer confiscated the inheritance of the brothers which was,InAn-high,prime,26
13,The tourist noticed the altar of the worshippers that ,InAn-low,target,25
13,The tourist noticed the altar of the worshippers that ,InAn-high,target,26
14,The prophet addressed the concern of the believers who were ,InAn-low,prime,27
14,The prophet addressed the concern of the believers which was,InAn-high,prime,28
14,The photographer captured the vacation of the sisters that ,InAn-low,target,27
14,The photographer captured the vacation of the sisters that ,InAn-high,target,28
15,The witness recognized the vehicle of the victims who were ,InAn-low,prime,29
15,The witness recognized the vehicle of the victims which was,InAn-high,prime,30
15,The coach lost the trophy of the athletes that ,InAn-low,target,29
15,The coach lost the trophy of the athletes that ,InAn-high,target,30
16,The firemen left the house of the hippies who were,InAn-low,prime,31
16,The firemen left the house of the hippies which was ,InAn-high,prime,32
16,The archeologist uncovered the cave of the Neanderthals that ,InAn-low,target,31
16,The archeologist uncovered the cave of the Neanderthals that ,InAn-high,target,32
17,We bought the company of the entrepreneurs who were,InAn-low,prime,33
17,We bought the company of the entrepreneurs which was ,InAn-high,prime,34
17,Jose built the shelter of the refugees that ,InAn-low,target,33
17,Jose built the shelter of the refugees that ,InAn-high,target,34
18,Amara observed the rehearsal of the actors who were,InAn-low,prime,35
18,Amara observed the rehearsal of the actors which was ,InAn-high,prime,36
18,The janitor cleaned the dorm of the sophomores that ,InAn-low,target,35
18,The janitor cleaned the dorm of the sophomores that ,InAn-high,target,36
19,We criticized the viewpoint of the journalists who were ,InAn-low,prime,37
19,We criticized the viewpoint of the journalists which was,InAn-high,prime,38
19,They congratulated the winners of the tournament that ,AnIn-low,target,37
19,They congratulated the winners of the tournament that ,AnIn-high,target,38
